config_id,benchmark,gpu_model,n_runs,n_physical_gpus,inner_iters,precision,energy_j_mean,energy_j_stdev,energy_j_per_inner_iter,work_hash_kind,runtime_s_mean,runtime_s_stdev,idle_pre_context_avg_w_mean,idle_post_context_avg_w_mean,n_idle_observations,work_hash
gpt2-xl|15ea56dee5df|fp32|b1|n960|i8|p72ef35ff2d6d,llm_inference,NVIDIA GeForce GTX 1080 Ti,5,1,8,fp32,46753.9788335037,271.1157339232627,5844.247354187963,output,328.9598481608089,0.6061720714067608,8.750729729729736,24.103299663299673,1,da913d948f2e1b5dd3556b8d86bba378689577b9ba286c51fccb3537b10d99d3
gpt2-xl|15ea56dee5df|fp32|b1|n960|i8|p72ef35ff2d6d,llm_inference,NVIDIA GeForce RTX 2080 Ti,6,1,8,fp32,33336.82139094061,437.7050369762914,4167.102673867576,output,187.69049845154709,1.5786446000885668,22.790476109215017,33.40063775510204,2,da913d948f2e1b5dd3556b8d86bba378689577b9ba286c51fccb3537b10d99d3
gpt2-xl|15ea56dee5df|fp32|b1|n960|i8|p72ef35ff2d6d,llm_inference,NVIDIA RTX A4000,6,2,8,fp32,28077.06392013363,734.129421072049,3509.632990016704,output,200.94252563267946,5.29348206960198,18.887848837209297,28.94596345514949,2,da913d948f2e1b5dd3556b8d86bba378689577b9ba286c51fccb3537b10d99d3
matmul|n8192|fp32|i2000|s20260818,matmul,NVIDIA GeForce GTX 1080 Ti,7,1,2000,fp32,63925.6913075248,285.94593952022507,31.9628456537624,config,285.20541353583604,7.674840922856907,9.607563492063496,25.430789414414402,3,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242
matmul|n8192|fp32|i2000|s20260818,matmul,NVIDIA GeForce RTX 2080 Ti,5,1,2000,fp32,35629.44379520606,170.98540192166104,17.814721897603032,config,205.61145698158072,1.3614448111919255,5.9716735395189025,19.83264726027398,1,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242
matmul|n8192|fp32|i2000|s20260818,matmul,NVIDIA RTX A4000,5,1,2000,fp32,28648.217085264874,267.2575727971196,14.324108542632437,config,205.2085557779763,1.9262167555064056,15.523445182724263,25.0573023255814,1,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242
matmul|n8192|fp32|i500|s20260818,matmul,NVIDIA GeForce GTX 1080 Ti,1,1,500,fp32,15887.596686028337,,31.775193372056673,,57.88852484797826,,,,0,afac2e9f3f01ded487855ceb7667059ea6c78a8cb5cc200f8db13d7f52f7a501
matmul|n8192|fp32|i500|s20260818,matmul,NVIDIA GeForce RTX 2080 Ti,1,1,500,fp32,11344.803167159042,,22.689606334318082,,40.83327526319772,,,,0,afac2e9f3f01ded487855ceb7667059ea6c78a8cb5cc200f8db13d7f52f7a501
matmul|n8192|fp32|i500|s20260818,matmul,NVIDIA L4,1,1,500,fp32,3200.677333549044,,6.401354667098087,,44.56429480598308,,,,0,afac2e9f3f01ded487855ceb7667059ea6c78a8cb5cc200f8db13d7f52f7a501
resnet50|cifar10|fp32|b32|n1000|s20260818,resnet_train,NVIDIA GeForce GTX 1080 Ti,6,1,1000,fp32,40366.685475766804,2098.1648543287165,40.36668547576681,config,201.06816972613646,2.480385403749562,17.237978756298663,25.647142871049013,2,acae053eda706ed0b799e385cda9f5c959881aad3d0e1171c0085f40c10f6bde
resnet50|cifar10|fp32|b32|n1000|s20260818,resnet_train,NVIDIA GeForce RTX 2080 Ti,5,1,1000,fp32,23846.887073511803,68.74044598275496,23.8468870735118,config,139.64340861444362,0.6758130595443955,10.770639175257728,20.934041095890443,1,acae053eda706ed0b799e385cda9f5c959881aad3d0e1171c0085f40c10f6bde
resnet50|cifar10|fp32|b32|n1000|s20260818,resnet_train,NVIDIA RTX A4000,5,1,1000,fp32,22289.374591235588,86.94120509483102,22.28937459123559,config,161.2540481059812,0.5691753133376706,19.73005647840535,25.291863333333307,1,acae053eda706ed0b799e385cda9f5c959881aad3d0e1171c0085f40c10f6bde
