timestamp,power_w
1367897.147215063,8.681
1367897.34822312,8.879
1367897.550591886,8.972
1367897.752982002,8.976
1367897.980301737,8.484
1367898.316227444,8.684
1367898.51935432,8.873
1367898.730121576,8.879
1367898.999673378,8.683
1367899.207217874,8.582
1367899.41517841,8.486
1367899.620176686,8.489
1367899.825124331,8.586
1367900.027675405,9.165
1367900.297729004,8.68
1367900.500794668,8.583
1367900.73433854,9.068
1367900.99754226,8.386
1367901.396186389,8.776
1367902.15597615,8.581
1367902.373200113,8.584
1367903.129644324,8.878
1367903.952503679,9.263
1367904.432763061,8.583
1367905.345151807,8.873
1367906.380337854,8.778
1367908.069888494,8.678
1367908.299225812,8.775
1367908.665298597,8.684
1367909.211345155,8.78
1367909.429273344,8.485
1367909.672575781,8.78
1367910.772912146,8.678
1367911.155186799,8.781
1367913.093495347,8.583
1367913.969676639,8.875
1367914.517164144,8.781
1367915.853620139,8.678
1367916.681940301,8.484
1367916.929101705,8.58
1367918.038330628,8.971
1367918.801641517,8.877
1367919.426931541,8.586
1367920.045419926,8.777
1367920.900951656,8.586
1367921.223855351,8.392
1367921.536926348,8.678
1367922.096084169,8.683
1367922.56670056,8.68
1367922.833615271,8.776
1367923.195255133,8.485
1367924.136937092,8.484
1367924.706045305,8.678
1367925.44378124,8.581
1367925.801387369,8.777
1367926.176796595,8.678
1367927.146949913,8.873
1367927.543795437,8.678
1367928.034429209,8.489
1367928.858366677,8.489
1367929.269514436,8.777
1367930.577205473,9.069
1367930.962266255,8.776
1367931.189814947,9.07
1367931.64473752,8.683
1367932.119210451,8.682
1367932.473447425,8.678
1367932.913899609,8.682
1367933.637149816,8.678
1367933.843446189,8.489
1367934.220883001,8.776
1367934.631441748,8.581
1367935.08991049,8.679
1367935.653824767,8.68
1367936.525600705,8.581
1367937.300685986,8.682
1367937.670970448,8.484
1367938.259585142,8.489
1367938.74433856,9.847
1367939.935164277,8.583
1367940.636122392,8.97
1367940.838933535,53.887
1367941.041067917,53.883
1367941.24316842,53.887
1367941.448250972,53.887
1367941.650294835,53.984
1367941.852343997,54.104
1367942.05447003,54.081
1367942.256570423,54.081
1367942.458683355,54.104
1367942.661768088,54.266
1367942.86385066,54.178
1367943.065974943,54.178
1367943.273116265,54.178
1367943.476960417,54.298
1367943.67910706,54.483
1367943.882453192,54.298
1367944.084614975,54.461
1367944.294829658,54.395
1367944.497141802,54.47
1367944.699239746,54.372
1367944.90128978,54.372
1367945.106280194,54.363
1367945.308346378,54.47
1367945.510456962,54.567
1367945.712528906,54.589
1367945.91758849,54.372
1367946.119656654,54.492
1367946.321786258,54.567
1367946.523908312,54.686
1367946.726030066,54.47
1367946.92807712,54.567
1367947.130172154,54.47
1367947.332249648,54.567
1367947.534341202,54.47
1367947.740915526,54.664
1367947.94299715,54.686
1367948.145077694,54.558
1367948.347203687,54.589
1367948.54929492,54.783
1367948.753437433,54.47
1367948.958580666,54.567
1367949.163753959,54.761
1367949.365845602,54.664
1367949.567896955,54.589
1367949.770282198,54.567
1367949.972443801,54.567
1367950.176204434,54.783
1367950.378327657,54.858
1367950.580450221,54.783
1367950.782529514,54.664
1367950.987848677,54.664
1367951.18987944,54.686
1367951.391924403,54.686
1367951.594862656,54.589
1367951.797054889,54.664
1367951.998472382,54.761
1367952.200664555,54.686
1367952.402790348,54.567
1367952.60491462,54.686
1367952.807088213,54.558
1367953.012733725,54.783
1367953.214796237,54.858
1367953.4168247,54.88
1367953.619077242,54.858
1367953.826064654,54.858
1367954.028139026,54.664
1367954.230221999,54.783
1367954.435578011,54.686
1367954.637651233,54.858
1367954.839757416,54.788
1367955.041845768,54.664
1367955.243939301,54.686
1367955.447071313,54.761
1367955.649171086,54.752
1367955.853872928,54.664
1367956.05883522,54.761
1367956.260892733,54.783
1367956.463140555,54.955
1367956.665257808,54.686
1367956.86737499,54.849
1367957.069436533,54.761
1367957.271630096,54.858
1367957.473709678,54.955
1367957.675812551,54.978
1367957.877939894,54.858
1367958.082526706,54.858
1367958.284604539,54.783
1367958.486646791,54.788
1367958.688708814,54.783
1367958.894988346,54.858
1367959.097046849,54.858
1367959.299130812,54.783
1367959.505061824,54.955
1367959.707141936,54.955
1367959.910055569,54.955
1367960.114315391,54.858
1367960.320211135,54.955
1367960.52232376,54.955
1367960.727763354,54.946
1367960.929856309,54.978
1367961.131980094,55.043
1367961.334063969,54.955
1367961.536186704,54.849
1367961.738286098,54.858
1367961.942073783,54.858
1367962.144178498,54.955
1367962.346267383,54.978
1367962.551804517,54.955
1367962.753985162,54.88
1367962.959304387,55.052
1367963.161378722,54.955
1367963.365163746,54.858
1367963.567193281,54.955
1367963.769321186,54.978
1367963.9748585,54.858
1367964.176986385,54.955
1367964.379074671,54.858
1367964.582517716,54.761
1367964.788027351,55.052
1367964.990187206,54.858
1367965.192361182,54.978
1367965.397850387,54.955
1367965.600051152,54.946
1367965.802156738,55.149
1367966.004304703,54.858
1367966.206509429,54.955
1367966.408578074,54.955
1367966.61084833,54.955
1367966.813033075,55.052
1367967.015208391,55.075
1367967.217346436,55.043
1367967.422886481,54.955
1367967.625403607,54.858
1367967.827553492,55.052
1367968.029692277,54.955
1367968.231836913,54.955
1367968.433965308,55.052
1367968.637783602,54.955
1367968.839902987,55.052
1367969.045836501,55.149
1367969.247935305,54.955
1367969.45006826,54.955
1367969.652133214,54.955
1367969.854231199,55.043
1367970.391708911,54.955
1367970.598231245,55.052
1367970.80046346,62.317
1367971.001141625,84.726
1367971.203474969,91.399
1367971.405603964,105.446
1367971.607639418,120.202
1367971.810758133,114.993
1367972.015320537,115.003
1367972.217345691,120.489
1367972.419419006,121.722
1367972.62323308,118.049
1367972.825342614,121.875
1367973.027777008,123.824
1367973.229968463,125.472
1367973.432168447,122.709
1367973.634304971,126.255
1367973.836669415,111.899
1367974.042712699,119.662
1367974.244855003,120.009
1367974.446965548,125.782
1367974.649133192,124.219
1367974.851264136,121.666
1367975.05347431,123.818
1367975.255725115,121.408
1367975.468382247,110.618
1367975.673571481,122.283
1367975.875756735,106.228
1367976.07791011,123.38
1367976.280079764,125.503
1367976.482264689,123.091
1367976.688280463,125.965
1367976.892074258,124.443
1367977.097074553,128.576
1367977.299195488,127.568
1367977.501387383,125.971
1367977.703556258,126.806
1367977.905698882,126.072
1367978.107892288,122.053
1367978.312448642,127.652
1367978.514558227,129.853
1367978.716658592,126.806
1367978.920602237,127.062
1367979.122773452,128.984
1367979.324934477,129.692
1367979.527088522,130.014
1367979.729240097,126.709
1367979.931375612,125.689
1367980.137174427,131.291
1367980.340784531,132.631
1367980.543109466,127.642
1367980.745198161,127.236
1367980.947465387,131.207
1367981.149566812,132.677
1367981.351706237,131.796
1367981.553850462,130.884
1367981.755958927,128.415
1367981.961779912,131.99
1367982.166184366,135.055
1367982.369750561,136.667
1367982.571851826,132.492
1367982.774662251,135.832
1367982.976773066,133.19
1367983.179573482,135.769
1367983.381691077,133.306
1367983.588258521,134.591
1367983.790340496,135.883
1367983.992388421,139.502
1367984.194444596,128.812
1367984.396626042,140.425
1367984.59872472,134.743
1367984.801683745,135.991
1367985.00324147,138.309
1367985.205372475,133.726
1367985.40754204,134.29
1367985.612763364,137.247
1367985.816325699,135.248
1367986.019153184,136.263
1367986.221623279,135.218
1367986.423746984,137.099
1367986.625934659,134.108
1367986.828057334,137.269
1367987.035980028,137.996
1367987.238198813,134.739
1367987.440305888,137.763
1367987.644826703,137.019
1367987.846956278,137.798
1367988.049064343,135.441
1367988.251270688,141.294
1367988.453370193,140.317
1367988.655463729,139.205
1367988.859824437,137.178
1367989.061996535,144.623
1367989.264181242,139.696
1367989.46632344,140.975
1367989.668498338,139.082
1367989.874056866,124.999
1367990.076295244,136.253
1367990.282905511,142.97
1367990.485032159,139.595
1367990.687285677,143.178
1367990.889445515,142.528
1367991.091556192,141.958
1367991.29366562,141.44
1367991.498032148,137.707
1367991.700153676,142.489
1367991.902289464,142.596
1367992.109751131,142.342
1367992.312824269,141.3
1367992.517272346,141.449
1367992.719448236,142.586
1367992.921629286,142.148
1367993.123837857,139.167
1367993.329471357,143.971
1367993.532054918,125.895
1367993.738419738,144.491
1367993.940502519,146.034
1367994.142587149,145.395
1367994.34477271,145.058
1367994.546900461,139.615
1367994.752226921,142.743
1367994.960615081,141.426
1367995.164494631,144.877
1367995.366619322,146.288
1367995.568744373,140.888
1367995.774406013,141.051
1367995.976533193,146.457
1367996.178667374,145.154
1367996.381435045,144.406
1367996.583555325,142.548
1367996.785634127,148.121
1367996.989208098,145.612
1367997.19131576,133.726
1367997.393464542,139.85
1367997.598936224,145.781
1367997.801117586,145.962
1367998.004965857,149.098
1367998.207152609,151.423
1367998.409365611,145.854
1367998.611564443,144.78
1367998.813672065,141.376
1367999.015946087,146.119
1367999.218037558,146.651
1367999.420142561,141.44
1367999.625722152,142.751
1367999.828987544,146.179
1368000.031245935,146.491
1368000.233421127,146.782
1368000.435610569,141.609
1368000.637763181,148.482
1368000.841072196,145.323
1368001.043228899,143.188
1368001.24924155,142.816
1368001.452966932,146.891
1368001.655147455,145.275
1368001.857751047,142.483
1368002.059915339,145.721
1368002.264445391,148.93
1368002.466619143,145.588
1368002.672257385,145.178
1368002.875567137,145.757
1368003.07778869,148.279
1368003.280061302,149.905
1368003.482214334,146.3
1368003.686206896,148.448
1368003.888328499,152.732
1368004.090488151,143.2
1368004.295692023,152.547
1368004.497798035,150.471
1368004.700368667,147.868
1368004.902816075,152.42
1368005.104946122,152.996
1368005.3071263,149.721
1368005.509272858,149.69
1368005.711453695,156.534
1368005.913579353,149.469
1368006.11992031,151.066
1368006.324688077,148.891
1368006.526898055,146.866
1368006.729038513,152.186
1368006.93123992,153.095
1368007.136492738,146.806
1368007.343845895,152.047
1368007.548211942,153.905
1368007.753445729,156.039
1368007.955638677,151.105
1368008.157769614,150.437
1368008.359948202,155.878
1368008.56216438,153.372
1368008.764309228,155.075
1368008.96494676,147.865
1368009.167101653,155.178
1368009.369250406,153.641
1368009.571412188,150.928
1368009.773576991,151.326
1368009.975707353,154.451
1368010.177935076,152.476
1368010.383951478,156.56
1368010.58604278,151.897
1368010.789550043,157.425
1368010.991396706,155.782
1368011.196480688,153.803
1368011.39854608,156.263
1368011.600708903,155.839
1368011.802855656,153.243
1368012.004989088,154.034
1368012.207111921,200.134
1368012.409186853,124.902
1368012.611311666,124.871
1368012.813408549,125.42
1368013.023073772,125.323
1368013.228267716,124.702
1368013.43034253,125.054
1368013.632507454,123.095
1368013.834594658,125.699
1368014.036648413,120.772
1368014.238763037,127.609
1368014.440949221,125.72
1368014.643471105,124.326
1368014.845618399,125.665
1368015.047704383,130.218
1368015.249872918,129.467
1368015.452292732,127.297
1368015.655883046,132.044
1368015.85797818,126.932
1368016.064976324,123.925
1368016.267303798,125.012
1368016.470162712,126.709
1368016.673255666,130.175
1368016.885943829,127.708
1368017.088115813,125.986
1368017.290268906,129.027
1368017.49245011,128.727
1368017.694513494,127.322
1368017.896590037,127.363
1368018.098704391,127.726
1368018.300805725,130.003
1368018.502894718,128.673
1368018.705098322,131.771
1368018.907252886,132.569
1368019.109677929,130.519
1368019.313593193,132.203
1368019.515722137,133.643
1368019.71915931,133.461
1368019.921276094,133.729
1368020.124239587,131.442
1368020.327031621,133.966
1368020.529323785,138.656
1368020.732110298,131.268
1368020.934207985,133.889
1368021.138017119,131.551
1368021.340043544,130.283
1368021.542169968,132.837
1368021.744330593,134.873
1368021.946411057,132.365
1368022.148520442,131.902
1368022.350600266,131.774
1368022.556715051,135.582
1368022.761336785,131.258
1368022.968822739,132.569
1368023.170948564,133.105
1368023.373980318,130.905
1368023.579652912,132.793
1368023.784122077,133.48
1368023.989414351,133.235
1368024.191519286,137.065
1368024.39363855,133.8
1368024.595845445,131.753
1368024.797994879,134.606
1368025.005691504,133.889
1368025.20782615,133.466
1368025.410040396,134.561
1368025.618051112,136.548
1368025.825067428,131.709
1368026.028125034,134.855
1368026.23029361,136.622
1368026.432436416,136.139
1368026.634582803,135.571
1368026.836732259,135.174
1368027.039215865,133.83
1368027.241364591,138.116
1368027.444057027,133.985
1368027.649644833,135.497
1368027.853856269,137.593
1368028.056094966,135.672
1368028.258364012,134.283
1368028.460511358,139.012
1368028.663541264,140.592
1368028.86564416,141.086
1368029.067830087,134.026
1368029.272789313,139.472
1368029.474932279,140.171
1368029.677070116,141.121
1368029.879198442,133.212
1368030.081328839,138.886
1368030.283476695,139.144
1368030.490202252,138.858
1368030.696779938,140.72
1368030.898919994,142.74
1368031.101100431,137.751
1368031.303196627,140.7
1368031.505288624,140.364
1368031.70737363,142.85
1368031.909493507,141.718
1368032.111660553,139.584
1368032.31378074,139.348
1368032.515972816,136.634
1368032.720357313,141.621
1368032.922491659,141.352
1368033.124638475,142.464
1368033.326739381,138.539
1368033.530645137,142.611
1368033.737474722,137.354
1368033.943056408,140.59
1368034.145159413,137.895
1368034.347280049,136.945
1368034.549598235,146.035
1368034.751733261,143.404
1368034.953826556,140.53
1368035.155949832,136.628
1368035.366067867,141.896
1368035.572036353,143.38
1368035.774132609,141.619
1368035.978225684,143.684
1368036.1803201,143.372
1368036.382448636,139.966
1368036.588427871,144.118
1368036.790568297,141.63
1368036.995645753,148.374
1368037.197724448,146.071
1368037.400491174,145.274
1368037.602685979,143.368
1368037.804922274,143.426
1368038.00717527,141.221
1368038.218375594,147.144
1368038.42053775,146.506
1368038.622683325,145.419
1368038.824810361,143.573
1368039.026893166,144.6
1368039.230247082,147.565
1368039.436548217,145.432
1368039.638640712,144.829
1368039.840763537,147.967
1368040.042886803,145.95
1368040.245016388,146.228
1368040.447113644,145.818
1368040.649212949,147.986
1368040.851320335,146.095
1368041.05343464,144.744
1368041.259027713,144.877
1368041.461151915,150.216
1368041.663257798,149.264
1368041.86602801,146.167
1368042.068155613,146.589
1368042.270945075,150.001
1368042.475067498,149.951
1368042.67720069,145.311
1368042.883417092,154.168
1368043.085564425,149.858
1368043.287656647,148.94
1368043.48971145,148.517
1368043.691835122,148.834
1368043.893911605,148.193
1368044.096027128,152.119
1368044.29808692,150.807
1368044.500191853,146.444
1368044.702297565,150.471
1368044.907331888,150.256
1368045.11399442,150.203
1368045.319030913,152.806
1368045.521370986,147.421
